"0","Altar of Death","true",""
"1","Asgard","true",""
"2","Atlantis","true",""
"3","Attilan","true",""
"4","Avengers Compound","true",""
"5","Bar Sinister","true",""
"6","Bar with No Name","true",""
"7","Baxter Building","true",""
"8","Camp Lehigh","true",""
"9","Central Park","true",""
"10","Cloning Vats","true",""
"11","Collapsed Mine","true",""
"12","Crimson Cosmos","true",""
"13","Daily Bugle","true",""
"14","Danger Room","true",""
"15","Dark Dimension","true",""
"16","Death's Domain","true",""
"17","Ego","true",""
"18","District X","true",""
"19","Dream Dimension","true",""
"20","Fisk Tower","true",""
"21","Gamma Lab","true",""
"22","Grand Central","true",""
"23","Hala","true",""
"24","Hellfire Club","true",""
"25","Hell's Kitchen","true",""
"26","Isle of Silence","true",""
"27","Jotunheim","true",""
"28","Kamar-Taj","true",""
"29","Klyntar","true",""
"30","K'un-Lun","true",""
"31","Knowhere","true",""
"32","Kyln","true",""
"33","Lamentis-1","true",""
"34","Lechuguilla","true",""
"35","Lemuria","true",""
"36","Limbo","true",""
"37","Los Diablos Base","true",""
"38","Luke's Bar","true",""
"39","Machineworld","true",""
"40","Mindscape","true",""
"41","Miniaturized Lab","true",""
"42","Mirror Dimension","true",""
"43","Mojoworld","true",""
"44","Monster Island","true",""
"45","Monster Metropolis","true",""
"46","Morag","true",""
"47","Muir Island","true",""
"48","Murderworld","true",""
"49","Necrosha","true",""
"50","Negative Zone","true",""
"51","New York","true",""
"52","Nidavellir","true",""
"53","Nova Roma","true",""
"54","Olympia","true",""
"55","Onslaught's Citadel","true",""
"56","Oscorp Tower","true",""
"57","Plunder Castle","true",""
"58","Project Pegasus","true",""
"59","Quantum Realm","true",""
"60","Quantum Tunnel","true",""
"61","Rickety Bridge","true",""
"62","Sakaar","true",""
"63","Sanctum Sanctorum","true",""
"64","Savage Land","true",""
"65","Sewer System","true",""
"66","Shadowland","true",""
"67","Shuri's Lab","true",""
"68","Sinister London","true",""
"69","Sokovia","true",""
"70","Stark Tower","true",""
"71","Starlight Citadel","true",""
"72","Strange Academy","true",""
"73","Subterranea","true",""
"74","The Bifrost","true",""
"75","The Big House","true",""
"76","The Hub","true",""
"77","The Ice Box","true",""
"78","The Nexus","true",""
"79","The Peak","true",""
"80","The Raft","true",""
"81","The Sacred Timeline","true",""
"82","The Space Throne","true",""
"83","The Superflow","true",""
"84","The Triskelion","true",""
"85","The Vault","true",""
"86","Throne Room","true",""
"87","Tinkerer's Workshop","true",""
"88","Titan","true",""
"89","TVA","true",""
"90","Vibranium Mines","true",""
"91","Vormir","true",""
"92","Wakanda","true",""
"93","Wakandan Embassy","true",""
"94","Warrior Falls","true",""
"95","Washington D.C.","true",""
"96","Weirdworld","true",""
"97","Westview","true",""
"98","Worldship","true",""
"99","Xandar","true",""
"100","X-Mansion","true",""
"101","Orchis Forge","true",""
"102","Asteroid M","true",""
"103","Krakoa","true",""
"104","Pet Mansion","true",""
"105","The Sandbar","true",""
"107","Milano","true",""
"108","Deep Space","true",""
"109","Aunt May's","true",""
"110","Great Web","true",""
"111","Elysium","true",""
"112","Eternity Range","true",""
"113","Fogwell's Gym","true",""
"115","White Hot Room","true",""
"116","Lake Hellas","true",""
"117","Yashida Base","true",""
"118","Valley Of The Hand","true",""
"119","Mount Vesuvius","true",""
"120","Time Theater","true",""
